
TaskName                                                                      LastRunTim
Initialization                                                                30/11/199…
InputSettingsRestoreDataAvailable                                             30/11/199…
WarrantyChecker                                                               30/11/199…
Property Definition Sync                                                      30/11/199…
StorageCardEncryption Task                                                    30/11/199…
dusmtask                                                                      30/11/199…
EDP App Launch Task                                                           30/11/199…
EDP Auth Task                                                                 30/11/199…
EDP Inaccessible Credentials Task                                             30/11/199…
Microsoft-Windows-DiskDiagnosticResolver                                      30/11/199…
Driver Recovery on Reboot                                                     30/11/199…
Data Integrity Check And Scan                                                 30/11/199…
Data Integrity Scan for Crash Recovery                                        30/11/199…
Data Integrity Scan                                                           30/11/199…
Restore                                                                       30/11/199…
SyspartRepair                                                                 30/11/199…
AD RMS Rights Policy Template Management (Automated)                          30/11/199…
UninstallDeviceTask                                                           30/11/199…
BitLocker MDM policy Refresh                                                  30/11/199…
BitLocker Encrypt All Drives                                                  30/11/199…
SdbinstMergeDbTask                                                            30/11/199…
Microsoft Compatibility Appraiser Exp                                         30/11/199…
RemoteMouseSyncDataAvailable                                                  30/11/199…
RemoteTouchpadSyncDataAvailable                                               30/11/199…
TouchpadSyncDataAvailable                                                     30/11/199…
WakeUpAndContinueUpdates                                                      30/11/199…
EduPrintProv                                                                  30/11/199…
Device Install Group Policy                                                   30/11/199…
Sysprep Generalize Drivers                                                    30/11/199…
RequestTrace                                                                  30/11/199…
WhesvcToast                                                                   30/11/199…
WiFiTask                                                                      30/11/199…
PCR Prediction Framework Firmware Update Task                                 30/11/199…
MapsUpdateTask                                                                30/11/199…
Background Synchronization                                                    30/11/199…
Logon Synchronization                                                         30/11/199…
Account Cleanup                                                               30/11/199…
RunFullMemoryDiagnostic                                                       30/11/199…
RunOnReboot                                                                   30/11/199…
Retry                                                                         30/11/199…
MouseSyncDataAvailable                                                        30/11/199…
RemediateHardwareChange                                                       30/11/199…
AD RMS Rights Policy Template Management (Manual)                             30/11/199…
WindowsActionDialog                                                           30/11/199…
WakeUpAndScanForUpdates                                                       30/11/199…
RemotePenSyncDataAvailable                                                    30/11/199…
syncpensettings                                                               30/11/199…
NotificationTask                                                              30/11/199…
MapsToastTask                                                                 30/11/199…
MareBackup                                                                    30/11/199…

